District,district_code,nb
Borama,SO1101,2
Baki,SO1102,2
Lughaye,SO1103,2
Zeylac,SO1104,2
Hargeysa,SO1201,4
Berbera,SO1202,2
Gebiley,SO1203,2
Burco,SO1301,4
Buuhoodle,SO1302,2
Owdweyne,SO1303,2
Sheikh,SO1304,2
Laas Caanood,SO1401,2
Caynabo,SO1402,2
Xudun,SO1404,2
Ceerigaabo,SO1501,2
Ceel Afweyn,SO1502,2
Laasqoray,SO1503,2
Bossaso,SO1601,4
Qardho,SO1606,2
Garoowe,SO1701,4
Burtinle,SO1702,2
Gaalkacyo,SO1801,4
Galdogob,SO1802,2
Hobyo,SO1803,2
Dhuusamarreeb,SO1901,4
Cabudwaaq,SO1902,2
Cadaado,SO1903,2
Belet Weyne,SO2001,4
Jowhar,SO2101,2
Balcad,SO2103,2
Marka,SO2301,2
Afgooye,SO2302,4
Wanla Weyn,SO2307,2
Baidoa,SO2401,20
Diinsoor,SO2403,2
Qansax Dheere,SO2404,2
Xudur,SO2501,2
Ceel Barde,SO2502,2
Waajid,SO2504,2
Garbahaarey,SO2601,2
Baardheere,SO2602,2
Belet Xaawo,SO2603,2
Ceel Waaq,SO2604,2
Doolow,SO2605,2
Luuq,SO2606,2
Kismaayo,SO2801,8
Afmadow,SO2802,2
