CCCM IDP Site Code,Region,District,Settlement, HH , Ind ,Latitude,Longitude,Neighbourhood,Neighbourhood Type,Source,IDP Code (REACH DSA4),district_code
CCCM-SO1101-0001,Awdal,Borama,Boon, 245 ," 1,475 ",10.1913666,43.0922479,,,DSA4,DSA4-SO1101-009,SO1101
CCCM-SO1101-0002,Awdal,Borama,Caydh Doon, 300 ," 1,800 ",10.191523,43.0918944,,,DSA4,DSA4-SO1101-010,SO1101
CCCM-SO1101-0003,Awdal,Borama,Degmo Laqas, 250 ," 1,250 ",9.965975305,43.07747994,,,DSA4,DSA4-SO1101-011,SO1101
CCCM-SO1101-0004,Awdal,Borama,Dhafaruurta, 130 , 780 ,10.10669836,43.34533906,,,DSA4,DSA4-SO1101-008,SO1101
CCCM-SO1101-0005,Awdal,Borama,Faarax Yood, 417 ," 3,434 ",9.948845975,43.19706243,,,DSA4,DSA4-SO1101-012,SO1101
CCCM-SO1101-0006,Awdal,Borama,Fillin Fulka, 150 , 900 ,9.9694551,43.13326757,,,DSA4,DSA4-SO1101-013,SO1101
CCCM-SO1101-0007,Awdal,Borama,Hayayaabe, 600 ," 3,800 ",9.924384034,43.17339805,,,DSA4,DSA4-SO1101-014,SO1101
CCCM-SO1101-0008,Awdal,Borama,Laas Dhiig, 47 , 235 ,9.968126733,43.1859091,,,DSA4,DSA4-SO1101-015,SO1101
CCCM-SO1101-0009,Awdal,Borama,Qulujeed, 275 ," 1,863 ",10.09008991,43.01132367,,,DSA4,DSA4-SO1101-016,SO1101
CCCM-SO1101-0010,Awdal,Borama,Sheekh Cismaan, 40 , 228 ,9.947871452,43.17457668,,,DSA4,DSA4-SO1101-017,SO1101
CCCM-SO1101-0011,Awdal,Borama,Site Waber Ama Site Hadi, 204 ," 1,389 ",9.955238134,43.15141622,,,DSA4,DSA4-SO1101-018,SO1101
CCCM-SO1102-0001,Awdal,Baki,Aasiyaan Idp, 84 , 504 ,10.30934288,43.81052795,,,DSA4,DSA4-SO1102-009,SO1102
CCCM-SO1102-0002,Awdal,Baki,Cabdi Geedi Idp, 160 , 800 ,10.50944832,44.0531675,,,DSA4,DSA4-SO1102-010,SO1102
CCCM-SO1102-0003,Awdal,Baki,Caro Madow, 40 , 240 ,10.13346666,43.37087129,,,DSA4,DSA4-SO1102-001,SO1102
CCCM-SO1102-0004,Awdal,Baki,Gobdheere Idp, 220 ," 1,320 ",10.31068239,43.57500317,,,DSA4,DSA4-SO1102-011,SO1102
CCCM-SO1102-0005,Awdal,Baki,Gol Janno Idp, 120 , 720 ,10.31823496,43.80508021,,,DSA4,DSA4-SO1102-012,SO1102
CCCM-SO1102-0006,Awdal,Baki,Jeego Buldhuq, 260 ," 1,500 ",10.01392327,43.36559526,,,DSA4,DSA4-SO1102-005,SO1102
CCCM-SO1102-0007,Awdal,Baki,Kuwayd Idp, 70 , 420 ,10.31575361,43.80264226,,,DSA4,DSA4-SO1102-013,SO1102
CCCM-SO1102-0008,Awdal,Baki,Old Baki, 250 ," 1,900 ",9.945161705,43.34774206,,,DSA4,DSA4-SO1102-006,SO1102
CCCM-SO1102-0009,Awdal,Baki,Osoli Idp, 230 ," 1,380 ",10.43898687,43.70622376,,,DSA4,DSA4-SO1102-014,SO1102
