market_region,market_district,market_settlement,name,ADM1_NAME,ADM2_NAME,hex_4000km,finalsettlement
lower_shabelle,afgooye,NA-3807-V04-007,Abbannaale,Lower Shabelle,Afgooye,Z-53,NA-3807-V04-007
bay,baidoa,NA-3801-X33-001,Abeesgarwaal,Bay,Baidoa,P-48,NA-3801-X33-001
bay,baidoa,NA-3801-V32-008,Aduble-Guure,Bay,Baidoa,O-47,NA-3801-X29-001
lower_shabelle,afgooye,NA-3807-W03-007,Afgooye,Lower Shabelle,Afgooye,Z-53,NA-3807-W03-007
lower_shabelle,afgooye,NA-3807-W03-009,Baalguri,Lower Shabelle,Afgooye,Z-53,NA-3807-W03-009
lower_shabelle,afgooye,NA-3807-T05-003,Alifoow,Lower Shabelle,Afgooye,Z-52,NA-3807-T05-003
bay,qansax_dheere,NA-3805-D19-003,Boor Boor,Bay,Qansax Dheere,L-49,NA-3805-D19-003
bay,baidoa,NA-3802-Z04-002,Borama,Bay,Baidoa,Q-48,NA-3802-Z04-002
lower_shabelle,wanla_weyn,NA-3806-J32-002,Aw Cusman,Lower Shabelle,Wanla Weyn,X-50,NA-3806-J32-002
lower_shabelle,afgooye,NA-3807-V05-004,Awgooye,Lower Shabelle,Afgooye,Z-53,NA-3807-V05-004
bay,baidoa,NC,Baanlow,Bay,Baidoa,O-49,NA-3805-E29-001
middle_shabelle,jowhar,NA-3807-D12-010,Baaroweyne,Middle Shabelle,Jowhar,AB-49,NA-3807-D12-010
lower_shabelle,afgooye,NA-3807-S06-004,Baasra,Lower Shabelle,Afgooye,Z-52,NA-3807-S06-004
lower_shabelle,afgooye,NA-3807-W03-007,Bagdaad,Lower Shabelle,Afgooye,Z-52,NA-3807-T06-003
bay,baidoa,NA-3801-U30-003,Bakali,Bay,Baidoa,O-47,NA-3801-U30-003
lower_shabelle,afgooye,NA-3806-X33-006,Balad-Aamin,Lower Shabelle,Afgooye,Y-52,NA-3806-X33-006
lower_shabelle,afgooye,NA-3807-W03-007,Balan,Lower Shabelle,Afgooye,X-54,NA-3810-B31-001
