"hex_4000km","assessed_num","ki_num","food_situation_improved","food_situation_NC","food_situation_remained_same","food_situation_worse","food_source_bought_cash","food_source_given_someone","food_price_changed_prices_increased","access_healthservices_no","protection_incidents_none_no","dam_shelters_reason_conflict_looting","dam_shelters_reason_fire","dam_shelters_reason_flooding","shelters_not_rebuilt_around_half","shelters_not_rebuilt_less_half","shelters_not_rebuilt_more_half","handwashing_access_no","health_workers_available_yes","dam_shelter_yes","education_bar_cost_stud","shelters_not_rebuilt_dummy_NC","shelters_not_rebuilt_dummy_no","shelters_not_rebuilt_dummy_SL","shelters_not_rebuilt_dummy_yes"
"A-65",1,3,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"AA-47",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"AA-49",4,9,"0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","1 (1, 1)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)"
"AA-50",2,5,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"AA-51",4,11,"0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","1 (1, 1)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)"
"AA-52",1,2,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"AB-48",2,4,"0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"AB-49",10,21,"0.2 (-0.05, 0.45)","0 (0, 0)","0 (0, 0)","0.8 (0.55, 1.05)","0.5 (0.19, 0.81)","0 (0, 0)","0.7 (0.42, 0.98)","0.7 (0.42, 0.98)","0.7 (0.42, 0.98)","0.3 (0.02, 0.58)","0.2 (-0.05, 0.45)","0 (0, 0)","0.1 (-0.09, 0.29)","0.1 (-0.09, 0.29)","0.2 (-0.05, 0.45)","1 (1, 1)","0.2 (-0.05, 0.45)","0.5 (0.19, 0.81)","0.5 (0.19, 0.81)","0.1 (-0.09, 0.29)","0.1 (-0.09, 0.29)","0.4 (0.1, 0.7)","0.3 (0.02, 0.58)"
"AB-50",7,17,"0.29 (-0.05, 0.62)","0.14 (-0.12, 0.4)","0 (0, 0)","0.57 (0.2, 0.94)","0.14 (-0.12, 0.4)","0 (0, 0)","0.86 (0.6, 1.12)","0.14 (-0.12, 0.4)","0.57 (0.2, 0.94)","0 (0, 0)","0.14 (-0.12, 0.4)","0.14 (-0.12, 0.4)","0.14 (-0.12, 0.4)","0.14 (-0.12, 0.4)","0 (0, 0)","0.57 (0.2, 0.94)","0 (0, 0)","0.29 (-0.05, 0.62)","0.29 (-0.05, 0.62)","0 (0, 0)","0.14 (-0.12, 0.4)","0.57 (0.2, 0.94)","0.29 (-0.05, 0.62)"
"AB-51",4,7,"0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)"
