"OBJECTID_1","OBJECTID_2","name","SOURCE","DEFINITION","ADM1_NAME","ADM2_NAME","RELIABILIT","X_COORD","Y_COORD","P_CODE","MGRS_CODE","Profile_Ma","market_settlement","Id","hex_4000km_market","geometry"
47,50,"Aabaraka","UNDP - 2006, UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.48935,3.06661,"NA-3801-Y33-006","38NLJ3212239074",NA,"NA-3801-Y33-006",0,"P-48",c(43.48935, 3.06661)
51,54,"Aadali-Wiin","UNDP - 2006","Settlement","Bay","Buur Hakaba","Verified",43.522143,2.109603,"NA-3806-X01-006","38NLH3564333253",NA,"NA-3806-X01-006",0,"P-53",c(43.522143, 2.109603)
56,59,"Aadao Nuur","UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.638962,1.83147,"NA-3810-E26-013","38NMH5984502437",NA,"NA-3810-E26-013",0,"W-54",c(44.638962, 1.83147)
58,61,"Aaminaay","UNDP - 1997","Settlement","Gedo","Baardheere","Verified",42.33992,2.30921,"NA-3805-S08-004","38NKH0413155515",NA,"NA-3805-S08-004",0,"I-52",c(42.33992, 2.30921)
59,62,"Aaminey","UNDP - 2006","Settlement","Bay","Buur Hakaba","Verified",44.0956,2.87296,"NA-3806-D14-009","38NLJ9948417590",NA,"NA-3806-D14-009",0,"T-49",c(44.0956, 2.87296)
61,64,"Aaminey","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.72598,2.9025,"NA-3806-C05-003","38NLJ5840220895",NA,"NA-3806-C05-003",0,"Q-48",c(43.72598, 2.9025)
63,66,"Aanole","UNDP - 2006, UNDP - 1997","Settlement","Gedo","Baardheere","Verified",42.31476,2.01387,"NA-3805-Z07-001","38NKH0127322840",NA,"NA-3805-Z07-001",0,"I-53",c(42.31476, 2.01387)
66,69,"Aaqoosh","UNDP - 2006, UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.522,3.1385,"NA-3802-W01-007","38NLJ3576247018",NA,"NA-3802-W01-007",0,"P-48",c(43.522, 3.1385)
67,70,"Aarag","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.4664,3.27682,"NA-3801-T33-003","38NLJ2960562321",NA,"NA-3801-T33-003",0,"P-47",c(43.4664, 3.27682)
70,73,"Aasho","UNDP - 2006","Settlement","Bay","Buur Hakaba","Verified",43.46405,2.55291,"NA-3805-L33-001","38NLH2923582277",NA,"NA-3805-L33-001",0,"P-51",c(43.46405, 2.55291)
71,74,"Aawdiinle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bay","Baidoa","Verified",43.40989,3.17055,"NA-3801-V32-008","38NLJ2330650580",NA,"NA-3801-V32-008",0,"O-47",c(43.40989, 3.17055)
71,74,"Aawdiinle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bay","Baidoa","Verified",43.40989,3.17055,"NA-3801-V32-008","38NLJ2330650580",NA,"NA-3801-V32-008",0,"O-47",c(43.40989, 3.17055)
71,74,"Aawdiinle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bay","Baidoa","Verified",43.40989,3.17055,"NA-3801-V32-008","38NLJ2330650580",NA,"NA-3801-V32-008",0,"O-47",c(43.40989, 3.17055)
72,75,"Aawjika","UNDP - 2006","Settlement","Bay","Diinsoor","Verified",43.04562,2.48343,"NA-3805-N24-001","38NKH8268774656",NA,"NA-3805-N24-001",0,"M-51",c(43.04562, 2.48343)
75,78,"Abaali","UNDP - 1997","Settlement","Bay","Diinsoor","Verified",42.520561,2.09274,"NA-3805-X12-002","38NKH2419631529",NA,"NA-3805-X12-002",0,"J-53",c(42.520561, 2.09274)
83,86,"Abaayle","UNDP - 1997","Settlement","Gedo","Baardheere","Verified",42.244171,2.09558,"NA-3805-X06-001","38NJH9343031895",NA,"NA-3805-X06-001",0,"H-53",c(42.244171, 2.09558)
88,91,"Abag Boostoole","UNDP - 2006","Part of town","Lower Shabelle","Baraawe","Verified",44.02764,1.11531,"NA-3810-X12-007","38NLG9181523293",NA,"NA-3810-X12-007",0,"S-58",c(44.02764, 1.11531)
94,97,"Abag-Tag","UNDP - 2006, FSAU","Settlement","Bay","Diinsoor","Verified",42.7565,2.34032,"NA-3805-R17-001","38NKH5049758876",NA,"NA-3805-R17-001",0,"L-52",c(42.7565, 2.34032)
96,99,"Abal","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Xudur","Verified",43.94177,3.94352,"NA-3802-B10-003","38NLK8251535958",NA,"NA-3802-B10-003",0,"S-43",c(43.94177, 3.94352)
97,100,"Abaq Beeday","UNDP - 2006, FSAU","Settlement","Bakool","Xudur","Verified",44.03645,4.1209,"NB-3814-X12-001","38NLK9305155555",NA,"NB-3814-X12-001",0,"S-42",c(44.03645, 4.1209)
99,102,"Abaq Dhere","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Tayeeglow","Verified",44.36139,3.9863,"NA-3802-A19-002","38NMK2910840640",NA,"NA-3802-A19-002",0,"U-43",c(44.36139, 3.9863)
100,103,"Abaq Haluul","UNDP - 2006","Settlement","Bay","Diinsoor","Verified",42.49589,2.30282,"NA-3805-S11-001","38NKH2148954776",NA,"NA-3805-S11-001",0,"J-52",c(42.49589, 2.30282)
101,104,"Abaq Mudule","UNDP - 1997","Settlement","Lower Shabelle","Baraawe","Verified",44.205841,1.35055,"NA-3810-R16-001","38NMG1165149291",NA,"NA-3810-R16-001",0,"T-57",c(44.205841, 1.35055)
104,107,"Abaqsaarre","UNDP - 1997","Settlement","Bay","Buur Hakaba","Verified",44.052502,2.91463,"NA-3806-C13-003","38NLJ9469722201",NA,"NA-3806-C13-003",0,"S-48",c(44.052502, 2.91463)
107,110,"Abay Eriley","KEMRI - 2007, UNDP - 2006","Settlement","Lower Shabelle","Marka","Verified",44.76653,1.85105,"NA-3810-D28-006","38NMH7403404599",NA,"NA-3810-D28-006",0,"W-54",c(44.76653, 1.85105)
108,111,"Abbannaale","UNDP - 1997","Settlement","Lower Shabelle","Afgooye","Verified",45.140011,2.20745,"NA-3807-V04-007","38NNH1556843991",NA,"NA-3807-V04-007",0,"Z-53",c(45.140011, 2.20745)
109,112,"Abdale Birole","FSAU","Settlement","Lower Juba","Kismayo","Verified",42.19793,-0.49016,"SA-3801-M05-002","38MJE8808545757",NA,"SA-3801-M05-002",0,"H-66",c(42.19793, -0.49016)
113,116,"Abdi Kheyr","UNDP - 2006","Settlement","Gedo","Luuq","Verified",42.52765,3.87355,"NA-3801-D12-002","38NKK2542828550",NA,"NA-3801-D12-002",0,"J-44",c(42.52765, 3.87355)
114,117,"Abdile Aliyow","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",45.02782,2.5801,"NA-3807-L01-019","38NNH0309285180",NA,"NA-3807-L01-019",0,"Y-50",c(45.02782, 2.5801)
115,118,"Abdirahman","FSAU","Settlement","Gedo","Baardheere","Verified",42.28168,2.33622,"NA-3805-R07-002","38NJH9765458516",NA,"NA-3805-R07-002",0,"I-51",c(42.28168, 2.33622)
116,119,"Abdiyow Aliyow","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.82233,2.46552,"NA-3806-N30-002","38NMH8024772517",NA,"NA-3806-N30-002",0,"X-51",c(44.82233, 2.46552)
117,120,"Abdiyow Arow","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",45.07583,2.53938,"NA-3807-M02-014","38NNH0842980679",NA,"NA-3807-M02-014",0,"Y-50",c(45.07583, 2.53938)
118,121,"Abdiyow-Ayuub","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.83762,2.5093,"NA-3806-M30-003","38NMH8194877355",NA,"NA-3806-M30-003",0,"X-51",c(44.83762, 2.5093)
118,121,"Abdiyow-Ayuub","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.83762,2.5093,"NA-3806-M30-003","38NMH8194877355",NA,"NA-3806-M30-003",0,"X-51",c(44.83762, 2.5093)
125,128,"Abeesaale","UNDP - 1997","Settlement","Lower Shabelle","Wanla Weyn","Verified",45.143978,2.77229,"NA-3807-F04-004","38NNJ1600206424",NA,"NA-3807-F04-004",0,"Z-50",c(45.143978, 2.77229)
127,130,"Abeesgarwaal","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.49205,3.1221,"NA-3801-X33-001","38NLJ3243045209",NA,"NA-3801-X33-001",0,"P-48",c(43.49205, 3.1221)
129,132,"Abgaalow","UNDP - 2006","Settlement","Lower Shabelle","Afgooye","Verified",45.07446,2.49832,"NA-3807-N02-002","38NNH0827776141",NA,"NA-3807-N02-002",0,"Z-51",c(45.07446, 2.49832)
131,134,"Abliko","KEMRI - 2007, UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.72997,1.87942,"NA-3810-C28-002","38NMH6996807735",NA,"NA-3810-C28-002",0,"W-54",c(44.72997, 1.87942)
134,137,"Aboli","UNDP - 1997","Settlement","Lower Juba","Afmadow","Verified",41.672699,0.4,"NA-3716-Q26-001","37NGA9750544260",NA,"NA-3716-Q26-001",0,"E-61",c(41.672699, 0.4)
137,140,"Aboore","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.13237,3.09107,"NA-3801-X25-006","38NKJ9244341841",NA,"NA-3801-X25-006",0,"N-48",c(43.13237, 3.09107)
142,145,"Aboow Cali","UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.56929,1.75365,"NA-3810-F24-003","38NMG5209493837",NA,"NA-3810-F24-003",0,"V-55",c(44.56929, 1.75365)
147,150,"Abrano","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.13203,3.03833,"NA-3801-Z25-003","38NKJ9239536009",NA,"NA-3801-Z25-003",0,"N-48",c(43.13203, 3.03833)
151,154,"Abu Gala","UNDP - 1997","Settlement","Lower Juba","Afmadow","Verified",41.3703,0.0726,"NA-3716-Y20-001","37NGA6383008031",NA,"NA-3716-Y20-001",0,"C-63",c(41.3703, 0.0726)
154,157,"Abugal","UNDP - 1997","Settlement","Lower Juba","Afmadow","Verified",41.6008,0.1727,"NA-3716-V25-001","37NGA8950219108",NA,"NA-3716-V25-001",0,"E-63",c(41.6008, 0.1727)
161,164,"Abuurow","UNDP - 2006","Settlement","Bay","Qansax Dheere","Verified",42.7798,2.77067,"NA-3805-F18-002","38NKJ5317206475",NA,"NA-3805-F18-002",0,"L-50",c(42.7798, 2.77067)
170,173,"Adale","UNDP - 1997","Settlement","Lower Shabelle","Afgooye","Verified",45.2216,2.4804,"NA-3807-N05-002","38NNH2463574162",NA,"NA-3807-N05-002",0,"Z-51",c(45.2216, 2.4804)
172,175,"Adaliyow","KEMRI - 2007, UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Marka","Verified",44.6279,1.7492,"NA-3810-G25-030","38NMG5861393343",NA,"NA-3810-G25-030",0,"W-54",c(44.6279, 1.7492)
175,178,"Adan Nure","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",45.0675,2.56874,"NA-3807-L02-008","38NNH0750383925",NA,"NA-3807-L02-008",0,"Y-50",c(45.0675, 2.56874)
176,179,"Adan Yabaal","UNDP - 2006, UNDP - 1997, FSAU","District Capital","Middle Shabelle","Adan Yabaal","Verified",46.246441,3.77837,"NA-3803-F28-001","38NPK3840917728","Adan Yabaal","NA-3803-F28-001",0,"AG-44",c(46.246441, 3.77837)
184,187,"Adeyley Aw Mamo","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.85015,2.45412,"NA-3806-P30-023","38NMH8334071256",NA,"NA-3806-P30-023",0,"X-51",c(44.85015, 2.45412)
189,192,"Aduble-Guure","UNDP - 2006, UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.31652,3.11916,"NA-3801-X29-001","38NLJ1291944913",NA,"NA-3801-X29-001",0,"O-47",c(43.31652, 3.11916)
200,203,"Afar Daar","UNDP - 1997","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.811508,3.16663,"NA-3802-W29-001","38NMJ7905750013",NA,"NA-3802-W29-001",0,"X-48",c(44.811508, 3.16663)
214,217,"Afgoi","UNDP - 2006","Town","Lower Shabelle","Afgooye","Verified",44.98538,1.98188,"NA-3810-A33-003","38NMH9837419058",NA,"NA-3810-A33-003",0,"Y-53",c(44.98538, 1.98188)
216,219,"Afgooy","UNDP - 1997","Settlement","Middle Juba","Bu'aale","Verified",42.62252,0.95106,"NA-3813-B14-002","38NKG3540505211",NA,"NA-3813-B14-002",0,"K-59",c(42.62252, 0.95106)
219,222,"Afgooye","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Gedo","Baardheere","Verified",42.28301,2.18775,"NA-3805-V07-003","38NJH9777242086",NA,"NA-3805-V07-003",0,"I-52",c(42.28301, 2.18775)
220,223,"Afgooye","UNDP - 1997, FSAU","District Capital","Lower Shabelle","Afgooye","Verified",45.118698,2.14158,"NA-3807-W03-007","38NNH1319836710","Afgooye","NA-3807-W03-007",0,"Z-53",c(45.118698, 2.14158)
220,223,"Afgooye","UNDP - 1997, FSAU","District Capital","Lower Shabelle","Afgooye","Verified",45.118698,2.14158,"NA-3807-W03-007","38NNH1319836710","Afgooye","NA-3807-W03-007",0,"Z-53",c(45.118698, 2.14158)
220,223,"Afgooye","UNDP - 1997, FSAU","District Capital","Lower Shabelle","Afgooye","Verified",45.118698,2.14158,"NA-3807-W03-007","38NNH1319836710","Afgooye","NA-3807-W03-007",0,"Z-53",c(45.118698, 2.14158)
231,234,"Afhuug","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.621391,3.15002,"NA-3802-W03-001","38NLJ4681048276",NA,"NA-3802-W03-001",0,"Q-47",c(43.621391, 3.15002)
233,236,"Afjiinow","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.63158,2.93972,"NA-3806-B03-001","38NLJ4791325023",NA,"NA-3806-B03-001",0,"Q-48",c(43.63158, 2.93972)
235,238,"Aflow","UNDP - 2006, FSAU","Settlement","Lower Shabelle","Kurtunwaarey","Verified",44.277,1.66485,"NA-3810-J18-005","38NMG1957984031",NA,"NA-3810-J18-005",0,"U-55",c(44.277, 1.66485)
236,239,"Afmadow","UNDP - 1997, FSAU","District Capital","Lower Juba","Afmadow","Verified",42.073009,0.51486,"NA-3813-M02-001","38NJF7416956982","Afmadow","NA-3813-M02-001",0,"G-61",c(42.073009, 0.51486)
236,239,"Afmadow","UNDP - 1997, FSAU","District Capital","Lower Juba","Afmadow","Verified",42.073009,0.51486,"NA-3813-M02-001","38NJF7416956982","Afmadow","NA-3813-M02-001",0,"G-61",c(42.073009, 0.51486)
238,241,"Afuu Faaley","UNDP - 2006","Settlement","Lower Shabelle","Afgooye","Verified",44.87152,2.26915,"NA-3806-T31-001","38NMH8571450811",NA,"NA-3806-T31-001",0,"X-52",c(44.87152, 2.26915)
257,260,"Agmarey","UNDP - 2006","Settlement","Middle Shabelle","Jowhar","Verified",45.62333,2.75552,"NA-3807-F14-001","38NNJ6928204588",NA,"NA-3807-F14-001",0,"AC-49",c(45.62333, 2.75552)
264,267,"Aifodo","UNDP - 1997","Settlement","Bay","Buur Hakaba","Verified",44.197701,2.9017,"NA-3806-C16-008","38NMJ1083420759",NA,"NA-3806-C16-008",0,"T-49",c(44.197701, 2.9017)
286,289,"Ali Dhuub","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.97354,2.56273,"NA-3806-L33-004","38NMH9705883260",NA,"NA-3806-L33-004",0,"Y-50",c(44.97354, 2.56273)
291,294,"Alifoow","UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Afgooye","Verified",45.18922,2.2774,"NA-3807-T05-003","38NNH2103851723",NA,"NA-3807-T05-003",0,"Z-52",c(45.18922, 2.2774)
293,296,"Aliindi","UNDP - 2006","Settlement","Lower Shabelle","Afgooye","Verified",44.798,2.26455,"NA-3806-T29-001","38NMH7753950303",NA,"NA-3806-T29-001",0,"X-52",c(44.798, 2.26455)
302,305,"Aliyow Baaley","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",45.14876,2.64542,"NA-3807-J04-003","38NNH1653592401",NA,"NA-3807-J04-003",0,"Z-50",c(45.14876, 2.64542)
310,313,"Allanga Gurrow","UNDP - 1997","Settlement","Lower Juba","Badhaadhe","Verified",41.048901,-0.3204,"SA-3704-H13-001","37MGV2803664563",NA,"SA-3704-H13-001",0,"A-65",c(41.048901, -0.3204)
